TowNum,Tow_Firm,Tow_Firm_Address,Tow_Firm_Phone,Vehicle_State,Vehicle_Plate,Vehicle_Year,Make,Model,Color,Tow_From_Address,Date,Time,geom
343578,CENTRAL GARAGE,"36 BOND ST. HARTFORD,CT 06114",860-296-1426,CT,AH50750,2013,HONDA,FIT,RED,,12302017,1956,"(41.7581620439844, -72.6919251370043)"
343604,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,AG82749,2005,HONDA,ACCORD,BLK,,12312017,1349,"(41.7441220801397, -72.68471858213)"
343688,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,,,2003,HONDA,ACCORD,RED,,1032018,1412,"(41.7579522213027, -72.691759958789)"
343621,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AF73797,2003,HONDA,ACCORD EX,TAN,,1012018,44,"(41.7720451778763, -72.6947249921929)"
343623,CROSS COUNTRY TOWING,"100 AIRPORT RD. HARTFORD, CT. 06114",860-296-2826,CT,0APRE7,2007,HONDA,ACCORD,BLK,,1012018,151,"(41.7708423119738, -72.7120219420275)"
343624,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,,,2000,HONDA,CIVIC,GRY,,1012018,218,"(41.7553943980743, -72.6764052830934)"
343627,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AH27755,2009,HONDA,ACCORD EX,GOLD,,1012018,408,"(41.7863581625772, -72.6989367449499)"
343636,,,860-246-7616,CT,AF29677,2005,HONDA,ACCORD,SILVER,,1012018,2016,"(41.7788810053657, -72.6854584535545)"
343640,,,860-296-1426,CT,AJ17699,2010,HONDA,ACCORD EX-,GRAY,,1012018,2339,"(41.7708229821232, -72.6949086813685)"
343643,,,860-296-5382,,,2002,HONDA,CIVIC,BLUE,,1022018,135,"(41.7720451778763, -72.6947249921929)"
343644,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AH98120,2009,HONDA,ACCORD,GRAY,,1022018,209,"(41.7796318938227, -72.6871736935506)"
343667,,,860-296-1426,CT,85102VR,1999,HONDA,ACCORD,BLUE,,1032018,52,"(41.7688325098416, -72.7003563471851)"
343685,WHITEY'S FRAME SHOP,"305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,CT,AD31698,2011,HONDA,CIVIC,SILVER,,1032018,1328,"(41.7661662730419, -72.6957538596738)"
343692,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,AL01982,1997,HONDA,CIVIC,GREEN,,1032018,1806,"(41.755904293616, -72.6895927024359)"
343698,,,860-296-8588,CT,AL25970,2017,HONDA,CIVIC,BLUE,,1032018,2303,"(41.7670897972513, -72.6795927112564)"
343711,,,860-246-6871,CT,AG89924,2008,HONDA,ACCORD,GRAY,,1042018,637,"(41.7817227689419, -72.6844702766347)"
343689,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,AC90357,2004,HONDA,CIVIC,SILVER,,1032018,1601,"(41.761798176783, -72.7144455746918)"
